Name,__url,Slug,Twitter,Image,Description,Website,Imported table,Summaries
Andrea Fuller,https://www.actionablebooks.com/en-ca/authors/Andrea-Fuller/,Not found.,Not found.,Not found.,Not found.,Not found.,https://www.actionablebooks.com/en-ca/summaries/a-curious-mind/,
Art Bingham,https://www.actionablebooks.com/en-ca/authors/Art-Bingham/,Not found.,Not found.,Not found.,Not found.,Not found.,"https://www.actionablebooks.com/en-ca/summaries/101-design-methods/, https://www.actionablebooks.com/en-ca/summaries/5-minds-for-the-future/",
Ben Wallis,https://www.actionablebooks.com/en-ca/authors/Ben-Wallis/,Not found.,Not found.,Not found.,Not found.,Not found.,https://www.actionablebooks.com/en-ca/summaries/20000-days-and-counting/,
Bill Stadick,https://www.actionablebooks.com/en-ca/authors/Bill-Stadick/,Not found.,Not found.,Not found.,Not found.,Not found.,https://www.actionablebooks.com/en-ca/summaries/a-beautiful-constraint/,
Brandi Tanaka,https://www.actionablebooks.com/en-ca/authors/Brandi-Tanaka/,Not found.,Not found.,Not found.,Not found.,Not found.,https://www.actionablebooks.com/en-ca/summaries/13-things-mentally-strong-people-dont-do/,
Brittnei Gaudio,https://www.actionablebooks.com/en-ca/authors/Brittnei-Gaudio/,Not found.,Not found.,Not found.,Not found.,Not found.,https://www.actionablebooks.com/en-ca/summaries/10-happier/,
Bryann Alexandros,https://www.actionablebooks.com/en-ca/authors/Bryann-Alexandros/,Not found.,Not found.,Not found.,Not found.,Not found.,https://www.actionablebooks.com/en-ca/summaries/a-more-beautiful-question/,
Carol S. Dweck,https://www.actionablebooks.com/en-ca/authors/Carol-S.-Dweck/,Not found.,Not found.,Not found.,Not found.,Not found.,,
Carol-Ann Hamilton,https://www.actionablebooks.com/en-ca/authors/Carol-Ann-Hamilton/,Not found.,Not found.,Not found.,Not found.,Not found.,https://www.actionablebooks.com/en-ca/summaries/a-complaint-free-world/,
Caroline L. Arnold,https://www.actionablebooks.com/en-ca/authors/Caroline-L.-Arnold/,Not found.,Not found.,Not found.,Not found.,Not found.,,
Chris Taylor,https://www.actionablebooks.com/en-ca/authors/Chris-Taylor/,Not found.,Not found.,Not found.,Not found.,Not found.,https://www.actionablebooks.com/en-ca/summaries/10-10-10/,
David H. Maister,https://www.actionablebooks.com/en-ca/authors/David-H.-Maister/,Not found.,Not found.,Not found.,Not found.,Not found.,,
David Marcum and Steve Smith,https://www.actionablebooks.com/en-ca/authors/David-Marcum-and-Steve-Smith/,Not found.,Not found.,Not found.,Not found.,Not found.,,
don Miguel Ruiz Jr.,https://www.actionablebooks.com/en-ca/authors/don-Miguel-Ruiz-Jr./,Not found.,Not found.,Not found.,Not found.,Not found.,,
Glennon Doyle Melton,https://www.actionablebooks.com/en-ca/authors/Glennon-Doyle-Melton/,Not found.,Not found.,Not found.,Not found.,Not found.,,
Holloway,https://www.actionablebooks.com/en-ca/authors/Holloway/,Not found.,Not found.,Not found.,Not found.,Not found.,,
Ingrid Urgolites,https://www.actionablebooks.com/en-ca/authors/Ingrid-Urgolites/,Not found.,Not found.,Not found.,Not found.,Not found.,https://www.actionablebooks.com/en-ca/summaries/a-million-miles-in-a-thousand-years/,
Jakob Browning,https://www.actionablebooks.com/en-ca/authors/Jakob-Browning/,Not found.,Not found.,Not found.,Not found.,Not found.,https://www.actionablebooks.com/en-ca/summaries/15-invaluable-laws-of-growth/,
Jennifer Knighton,https://www.actionablebooks.com/en-ca/authors/Jennifer-Knighton/,Not found.,Not found.,Not found.,Not found.,Not found.,https://www.actionablebooks.com/en-ca/summaries/18-minutes/,
John Blick,https://www.actionablebooks.com/en-ca/authors/John-Blick/,Not found.,Not found.,Not found.,Not found.,Not found.,https://www.actionablebooks.com/en-ca/summaries/a-special-calling/,
Julien Smith and Chris Brogan,https://www.actionablebooks.com/en-ca/authors/Julien-Smith-and-Chris-Brogan/,Not found.,Not found.,Not found.,Not found.,Not found.,,
Michael D’Antonio,https://www.actionablebooks.com/en-ca/authors/Michael-D‚ÄôAntonio/,Not found.,Not found.,Not found.,Not found.,Not found.,,
Nancy D. O'Reilly,https://www.actionablebooks.com/en-ca/authors/Nancy-D.-O'Reilly/,Not found.,Not found.,Not found.,Not found.,Not found.,,
Peter Taylor,https://www.actionablebooks.com/en-ca/authors/Peter-Taylor/,Not found.,Not found.,Not found.,Not found.,Not found.,https://www.actionablebooks.com/en-ca/summaries/5-conversations/,
R. Gordon Bell,https://www.actionablebooks.com/en-ca/authors/R.-Gordon-Bell/,Not found.,Not found.,Not found.,Not found.,Not found.,,
Rex Williams,https://www.actionablebooks.com/en-ca/authors/Rex-Williams/,Not found.,Not found.,Not found.,Not found.,Not found.,https://www.actionablebooks.com/en-ca/summaries/a-curious-discovery/,
Roni Stone,https://www.actionablebooks.com/en-ca/authors/Roni-Stone/,Not found.,Not found.,Not found.,Not found.,Not found.,https://www.actionablebooks.com/en-ca/summaries/3-seconds/,
Sarah Robb O'Hagan,https://www.actionablebooks.com/en-ca/authors/Sarah-Robb-O'Hagan/,Not found.,Not found.,Not found.,Not found.,Not found.,,
Sean D'Souza,https://www.actionablebooks.com/en-ca/authors/Sean-D'Souza/,Not found.,Not found.,Not found.,Not found.,Not found.,,
Stephen O'Grady,https://www.actionablebooks.com/en-ca/authors/Stephen-O'Grady/,Not found.,Not found.,Not found.,Not found.,Not found.,,
Steven D. Levitt,https://www.actionablebooks.com/en-ca/authors/Steven-D.-Levitt/,Not found.,Not found.,Not found.,Not found.,Not found.,,
Tom O'Neil,https://www.actionablebooks.com/en-ca/authors/Tom-O'Neil/,Not found.,Not found.,Not found.,Not found.,Not found.,,
Tracy Shea-Porter,https://www.actionablebooks.com/en-ca/authors/Tracy-Shea-Porter/,Not found.,Not found.,Not found.,Not found.,Not found.,https://www.actionablebooks.com/en-ca/summaries/7-lenses/,
Vanessa Chase,https://www.actionablebooks.com/en-ca/authors/Vanessa-Chase/,Not found.,Not found.,Not found.,Not found.,Not found.,https://www.actionablebooks.com/en-ca/summaries/168-hours/,
William Zahn,https://www.actionablebooks.com/en-ca/authors/William-Zahn/,Not found.,Not found.,Not found.,Not found.,Not found.,https://www.actionablebooks.com/en-ca/summaries/a-guide-to-the-good-life/,